SetEntrenamiento,SetTesting,Resultados,Método,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1601-vecinos-resultados.csv,0,1601,0,0,0,38036.8
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1651-vecinos-resultados.csv,0,1651,0,0,0,38770.8
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1701-vecinos-resultados.csv,0,1701,0,0,0,39474.8
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1751-vecinos-resultados.csv,0,1751,0,0,0,40245.3
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1801-vecinos-resultados.csv,0,1801,0,0,0,40958.3
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1851-vecinos-resultados.csv,0,1851,0,0,0,41808.4
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1901-vecinos-resultados.csv,0,1901,0,0,0,42514.1
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-1951-vecinos-resultados.csv,0,1951,0,0,0,43220.7
./Data/5_fold-SET-0-train.csv,./Data/5_fold-SET-0-validate.csv,./resultados/5_fold-SET-0-2001-vecinos-resultados.csv,0,2001,0,0,0,44011.7
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1-vecinos-resultados.csv,0,1,0,0,0,15272.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-51-vecinos-resultados.csv,0,51,0,0,0,16032.6
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-101-vecinos-resultados.csv,0,101,0,0,0,16767.8
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-151-vecinos-resultados.csv,0,151,0,0,0,17473.5
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-201-vecinos-resultados.csv,0,201,0,0,0,18149.3
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-251-vecinos-resultados.csv,0,251,0,0,0,18852.2
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-301-vecinos-resultados.csv,0,301,0,0,0,19551.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-351-vecinos-resultados.csv,0,351,0,0,0,20189.6
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-401-vecinos-resultados.csv,0,401,0,0,0,20907.7
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-451-vecinos-resultados.csv,0,451,0,0,0,21602.9
