SetEntrenamiento,SetTesting,Resultados,Método,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo,Accuracy,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-801-vecinos-resultados.csv,0,801,,,,23343.5,0.6705,0.8667,0.4222,0.963,0.7961,0.7378,0.8352,0.7081,0.8224,0.7789,0.6538,0.7879,0.9922,0.4239,0.6111,0.6914,0.4086,0.6238,0.9072,0.3895,0.7356
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-851-vecinos-resultados.csv,0,851,,,,24260.9,0.66,0.8556,0.4113,0.9625,0.7891,0.7301,0.8111,0.7104,0.8255,0.7692,0.6453,0.7778,0.9922,0.4185,0.5859,0.68,0.3925,0.619,0.9021,0.3684,0.726
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-901-vecinos-resultados.csv,0,901,,,,25247.0,0.657,0.8603,0.4035,0.962,0.7917,0.7407,0.8295,0.6927,0.8294,0.7742,0.6481,0.7778,0.9922,0.413,0.5758,0.6857,0.3925,0.5905,0.9021,0.3789,0.726
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-951-vecinos-resultados.csv,0,951,,,,26117.7,0.6485,0.8629,0.3972,0.9726,0.7917,0.7407,0.8161,0.663,0.8365,0.7667,0.6383,0.7626,0.9922,0.3859,0.5758,0.6857,0.3817,0.581,0.8969,0.3632,0.7212
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1001-vecinos-resultados.csv,0,1001,,,,27017.5,0.641,0.8621,0.3893,0.9722,0.7793,0.7407,0.8293,0.6536,0.8398,0.764,0.6271,0.7576,0.9922,0.3804,0.5707,0.6857,0.3656,0.5571,0.8918,0.3579,0.7115
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1-vecinos-resultados.csv,0,1,,,,168122.0,0.9202380952380952,0.9231,0.9458,0.953,0.9488,0.8668,0.8677,0.9243,0.9227,0.9533,0.8995,0.9751,0.9036,0.9179,0.8853,0.9444,0.9028,0.9745,0.9593,0.848,0.8918
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-51-vecinos-resultados.csv,0,51,,,,173599.0,0.910595238095238,0.8991,0.8668,0.9658,0.9416,0.951,0.8854,0.8883,0.9135,0.9588,0.8664,0.9581,0.971,0.8393,0.8865,0.9383,0.8866,0.9479,0.9416,0.8017,0.925
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-101-vecinos-resultados.csv,0,101,,,,10715.2,0.8495,0.8559,0.6962,0.9712,0.9384,0.9189,0.9042,0.8393,0.8879,0.9444,0.749,0.9179,0.9735,0.675,0.8354,0.8374,0.8483,0.8826,0.8796,0.7158,0.8966
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-151-vecinos-resultados.csv,0,151,,,,11702.9,0.839,0.8636,0.6637,0.9704,0.931,0.9016,0.8916,0.8386,0.8952,0.9416,0.7429,0.9179,0.9867,0.655,0.8232,0.8128,0.8315,0.8779,0.8704,0.6789,0.8966
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-201-vecinos-resultados.csv,0,201,,,,12568.1,0.818,0.8611,0.6011,0.9683,0.9048,0.9096,0.8854,0.8128,0.891,0.9323,0.749,0.8986,0.9867,0.61,0.811,0.7931,0.7809,0.8357,0.8704,0.6526,0.8966
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-251-vecinos-resultados.csv,0,251,,,,13421.8,0.805,0.8685,0.5674,0.9669,0.8973,0.8977,0.8933,0.8065,0.8957,0.9297,0.7306,0.8937,0.9867,0.585,0.7988,0.7783,0.7528,0.8216,0.875,0.6263,0.8818
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-301-vecinos-resultados.csv,0,301,,,,14319.9,0.7905,0.8708,0.5346,0.9735,0.8819,0.8983,0.8828,0.7926,0.8952,0.9333,0.7276,0.8792,0.9912,0.55,0.7744,0.7833,0.7191,0.8075,0.8704,0.5895,0.8818
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-351-vecinos-resultados.csv,0,351,,,,15265.2,0.776,0.8744,0.5137,0.9727,0.8581,0.8882,0.875,0.7907,0.8815,0.9478,0.708,0.8744,0.9956,0.535,0.7744,0.7438,0.6685,0.7981,0.8611,0.5737,0.8719
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-401-vecinos-resultados.csv,0,401,,,,16105.6,0.7635,0.8683,0.5,0.9727,0.8503,0.8837,0.8594,0.7778,0.8692,0.9455,0.6935,0.8599,0.9956,0.535,0.7622,0.7488,0.618,0.7887,0.8611,0.5474,0.8473
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-451-vecinos-resultados.csv,0,451,,,,17030.1,0.7545,0.8689,0.4881,0.972,0.8255,0.8757,0.8595,0.77,0.8657,0.9537,0.688,0.8647,0.9956,0.52,0.75,0.7291,0.5843,0.77,0.8657,0.5421,0.8473
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-501-vecinos-resultados.csv,0,501,,,,17871.8,0.7455,0.8683,0.4757,0.9717,0.8188,0.8596,0.8644,0.7667,0.8551,0.9528,0.6815,0.8599,0.9956,0.515,0.7439,0.7241,0.573,0.7559,0.8472,0.5316,0.8325
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-551-vecinos-resultados.csv,0,551,,,,18746.3,0.735,0.8676,0.462,0.9709,0.8069,0.8529,0.8727,0.756,0.8592,0.934,0.6719,0.8551,0.9956,0.5,0.7134,0.7143,0.5393,0.7418,0.8472,0.5211,0.8374
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-601-vecinos-resultados.csv,0,601,,,,19600.7,0.7225,0.8578,0.4491,0.9706,0.7972,0.8286,0.8738,0.7438,0.8578,0.9333,0.6601,0.8454,0.9956,0.495,0.6951,0.7143,0.5056,0.7089,0.838,0.5158,0.8227
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-651-vecinos-resultados.csv,0,651,,,,20502.7,0.7155,0.8621,0.442,0.9697,0.7887,0.8229,0.8969,0.7413,0.8578,0.9057,0.6459,0.8454,0.9956,0.48,0.6829,0.7094,0.4888,0.6995,0.838,0.5053,0.8177
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-701-vecinos-resultados.csv,0,701,,,,21385.0,0.7025,0.867,0.4261,0.9688,0.7899,0.8129,0.8764,0.7313,0.8612,0.8868,0.6332,0.8502,0.9956,0.465,0.6646,0.6847,0.4382,0.6901,0.8333,0.4947,0.8079
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-751-vecinos-resultados.csv,0,751,,,,22343.1,0.695,0.8713,0.4144,0.9677,0.7698,0.8144,0.8824,0.72,0.866,0.901,0.6322,0.8502,0.9956,0.45,0.6524,0.67,0.4213,0.6761,0.838,0.4789,0.8128
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-801-vecinos-resultados.csv,0,801,,,,24023.0,0.681,0.8706,0.4018,0.9663,0.7634,0.7988,0.881,0.7107,0.8606,0.8824,0.61,0.8454,0.9956,0.43,0.6098,0.665,0.4157,0.6573,0.8287,0.4737,0.7783
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-851-vecinos-resultados.csv,0,851,,,,24788.3,0.677,0.87,0.3947,0.9655,0.7463,0.8107,0.8718,0.7107,0.8565,0.899,0.6148,0.8406,0.9956,0.42,0.6098,0.6749,0.382,0.6573,0.8287,0.4684,0.7783
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-901-vecinos-resultados.csv,0,901,,,,25142.5,0.6675,0.8687,0.3873,0.9651,0.7462,0.8024,0.8442,0.6954,0.8621,0.89,0.6054,0.8309,0.9956,0.415,0.5915,0.6601,0.3652,0.6432,0.8102,0.4684,0.7783
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-951-vecinos-resultados.csv,0,951,,,,26140.6,0.6615,0.8776,0.3794,0.9762,0.7308,0.7939,0.84,0.6974,0.8621,0.8866,0.6031,0.8309,0.9956,0.41,0.5793,0.6453,0.3539,0.6385,0.8102,0.4526,0.7783
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1001-vecinos-resultados.csv,0,1001,,,,27069.5,0.6535,0.8814,0.3701,0.9878,0.7121,0.7988,0.8286,0.6915,0.8571,0.8776,0.6015,0.8261,0.9956,0.405,0.5732,0.6453,0.3258,0.6103,0.8056,0.4526,0.7734
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1-vecinos-resultados.csv,0,1,,,,173719.0,0.9248809523809524,0.9373,0.9528,0.9543,0.9329,0.905,0.8996,0.9226,0.9054,0.9495,0.8948,0.9754,0.9031,0.9181,0.9058,0.949,0.9054,0.9776,0.9536,0.8655,0.8959
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-51-vecinos-resultados.csv,0,51,,,,173615.0,0.9125,0.9093,0.8641,0.9707,0.9526,0.9442,0.9149,0.8764,0.9125,0.9465,0.8657,0.9507,0.9681,0.8509,0.9105,0.9212,0.8912,0.9516,0.9445,0.8157,0.9077
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-101-vecinos-resultados.csv,0,101,,,,11351.7,0.8345,0.89,0.6842,0.9787,0.9022,0.9306,0.8537,0.8194,0.8535,0.9097,0.683,0.8986,0.9858,0.6798,0.8469,0.8627,0.8046,0.8719,0.8579,0.639,0.8947
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-151-vecinos-resultados.csv,0,151,,,,12103.0,0.8085,0.8927,0.64,0.9776,0.9045,0.9179,0.825,0.7936,0.8402,0.9,0.6276,0.8841,0.9858,0.6453,0.8214,0.8155,0.7586,0.8522,0.8274,0.6146,0.8772
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-201-vecinos-resultados.csv,0,201,,,,13055.4,0.7955,0.8911,0.6006,0.9845,0.9034,0.9015,0.8224,0.7828,0.8549,0.8881,0.624,0.8696,0.9905,0.6256,0.8112,0.7854,0.7184,0.8522,0.8376,0.5805,0.883
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-251-vecinos-resultados.csv,0,251,,,,14020.6,0.781,0.899,0.5707,0.9832,0.8857,0.8995,0.8264,0.7844,0.8384,0.8667,0.6098,0.8599,0.9953,0.5764,0.7908,0.7682,0.6839,0.8424,0.8426,0.5707,0.8772
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-301-vecinos-resultados.csv,0,301,,,,14930.2,0.7715,0.9086,0.5455,0.9831,0.8779,0.9031,0.8321,0.7767,0.8384,0.8529,0.5976,0.8647,0.9953,0.5714,0.7704,0.7597,0.6552,0.8227,0.8426,0.5659,0.8596
